UBIDPTO,REGION,ZONA,OCU,INFORM,SEXO,GEDUC,AEDUC,AEDAD,AEDAD2,WS,LWS,EXP,EXP2
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,14,44,1936,720.4048873384488,6.579813397479856,4,16
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,39,1521,868.1527111073608,6.766367633641184,9,81
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,52,2704,187.73409227334884,5.235026558816782,3.2,10.240000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,9,46,2116,259.90115624562503,5.560301390447187,4,16
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,14,40,1600,656.8104190599296,6.487395421380134,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,9,14,196,70.76706512296018,4.259393710589924,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,40,1600,77.38988916905514,4.348856141171963,2,4
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,78,6084,168.0190399843507,5.124077306221715,3.5,12.25
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,62,3844,159.58069075559663,5.072549692455781,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,22,484,480.4680982453987,6.17476083337669,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,9,19,361,300.3668764107865,5.705004648866234,1.5,2.25
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,17,52,2704,446.5876840974515,6.101635761993676,25,625
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,46,2116,15.726014471768929,2.7553163138136503,1.5,2.25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,47,2209,398.4435081286235,5.987565726897936,22,484
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,9,55,3025,102.08484760149513,4.625804306728109,4,16
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,54,2916,572.8104881009688,6.350554925710944,25,625
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,65,4225,164.26013896426934,5.101451384313572,30,900
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,54,2916,37.0712024072309,3.6128404527636824,1.5,2.25
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,25,625,82.13965851534917,4.408420951170722,0.4,0.16000000000000003
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,38,1444,461.0598950192644,6.133527958677121,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,48,2304,40.59996663016442,3.7037672446902166,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,81,6561,47.1588653488778,3.853522015771544,5,25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,47,2209,351.05450598259785,5.860941499109688,15,225
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,45,2025,265.8080007057529,5.582774246299246,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,18,24,576,291.4126297036605,5.674740234289497,0.5,0.25
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,42,1764,75.79171852735463,4.32798903242311,20,400
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,13,19,361,101.10676621361682,4.616177049737694,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,36,1296,219.66557287761134,5.392106266509154,6.5,42.25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,65,4225,101.10676621361682,4.616177049737694,7.7,59.290000000000006
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,71,5041,37.55065406795556,3.625690796645807,40,1600
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,53,2809,98.55608337856161,4.590625760547581,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,53,2809,365.3613435386218,5.900886846170787,10,100
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,22,484,331.47370015860264,5.803548470607176,0.6,0.36
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,60,3600,216.11763058824883,5.375822845507701,35,1225
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,41,1681,234.6628208250788,5.458149678826145,5,25
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SECUNDARIA,11,42,1764,238.57514637659204,5.474684339848522,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,9,21,441,348.6764257454035,5.854144345274624,0.6,0.36
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,66,4356,283.1066166246987,5.645823563885349,30,900
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,7,61,3721,306.2353647380564,5.724353972106597,4,16
13,COSTA,RURAL,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,54,2916,241.70117120451684,5.487702133392843,8,64
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,9,50,2500,152.65740877473252,5.02819625239378,40,1600
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,16,23,529,93.85745710345992,4.541777217557969,0.1,0.010000000000000002
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,16,32,1024,351.9942312376182,5.86361478693431,0.1,0.010000000000000002
13,COSTA,RURAL,OCUPADO,FORMAL,MASCULINO,SUP. UNIV.,16,37,1369,140.80536372161887,4.947378537612131,1.5,2.25
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,63,3969,109.353334778081,4.694584243027968,1,1
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,4,55,3025,91.54650009876704,4.516847040993439,0.1,0.010000000000000002
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,45,2025,325.93123896062554,5.786686435685568,3,9
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,65,4225,151.66014932042523,5.021642157845859,9,81
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,61,3721,27.86189584446061,3.327260015012047,20,400
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,7,43,1849,151.66014932042523,5.021642157845859,8,64
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,2,35,1225,151.66014932042523,5.021642157845859,20,400
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,19,361,120.57250363903812,4.7922512619384126,3,9
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,4,57,3249,50.55338310680841,3.9230298691777494,38,1444
13,COSTA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,4,52,2704,222.75324157267818,5.406064618759861,42,1764
13,COSTA,RURAL,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,53,2809,398.8846036564902,5.988672161165952,2.5,6.25
13,COSTA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,0,75,5625,19.48491549185028,2.9696406016937784,44,1936
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,1,56,3136,86.12869633257836,4.45584264664309,49,2401
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,60,3600,4.698626275101692,1.5472701841000782,49,2401
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,21,441,404.4270648544673,6.002471410857585,1.2,1.44
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,19,361,234.6628208250788,5.458149678826145,0.7,0.48999999999999994
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,0,71,5041,92.06191063404606,4.5224612923997345,50,2500
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,1,42,1764,17.835601778957443,2.881196559702653,5,25
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,29,841,21.61368086546778,3.0733264875951276,1,1
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,43,1849,136.16174328743702,4.9138434679704615,28,784
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,35,1225,30.512303688517516,3.418130001893138,0.1,0.010000000000000002
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,51,2601,583.837876297636,6.369623335208303,35,1225
